artist,popularity
The Weeknd,0
Pitbull,80
Galantis,74
Rihanna,73
Zara Larsson,0
One Direction,79
Travis Scott,73
Years & Years,0
Demi Lovato,64
Lemaitre,59
Selena Gomez,69
Pia Mia,72
Flo Rida,76
Silentó,0
Chris Brown,71
The Strumbellas,71
Fetty Wap,68
Tove Lo,66
Beyoncé,69
Lana Del Rey,67
Zara Larsson,73
Jeremih,77
Drake,77
Selena Gomez,64
Birdy,68
Fetty Wap,74
Ariana Grande,74
The Weeknd,79
SAYGRACE,55
X Ambassadors,75
R. City,77
Kygo,74
Tame Impala,83
Selena Gomez,0
Fetty Wap,55
Hozier,81
Taylor Swift,77
Alessia Cara,0
Sam Smith,66
David Guetta,47
Meek Mill,68
Big Sean,75
Kygo,76
Drake,0
Petit Biscuit,71
Shawn Mendes,78
Flo Rida,67
Selena Gomez,64
Jack Ü,74
Ellie Goulding,0
Bryson Tiller,78
Rich Homie Quan,1
Joel Adams,71
Zedd,0
Jonas Blue,67
BØRNS,0
Sigala,66
Justin Bieber,80
Ariana Grande,79
Little Mix,1
One Direction,77
Years & Years,55
Meghan Trainor,70
Nicky Jam,51
The Weeknd,0
Drake,84
Justin Bieber,0
The Chainsmokers,83
Adele,1
Desiigner,70
Burak Yeter,72
Sia,67
OneRepublic,70
Rihanna,75
Coldplay,82
Justin Bieber,80
Justin Timberlake,76
WILLOW,86
Desiigner,67
G-Eazy,77
David Guetta,68
Astrid S,0
Lil Wayne,75
Twenty One Pilots,80
Future,74
Galantis,67
The Chainsmokers,79
Tinie Tempah,62
Alok,51
Jon Bellion,70
Cheat Codes,0
Meghan Trainor,69
Dua Lipa,65
Martin Garrix,76
Alan Walker,78
Tove Lo,0
DJ Snake,81
Calvin Harris,79
Mike Posner,77
Kevin Gates,69
Rihanna,80
Ariana Grande,0
Marshmello,71
Shawn Mendes,73
Selena Gomez,69
Calvin Harris,74
Fitz and The Tantrums,64
Twenty One Pilots,80
Flo Rida,76
Ariana Grande,0
Anne-Marie,57
Charlie Puth,79
AlunaGeorge,0
Enrique Iglesias,68
MNEK,45
Mike Perry,70
Drake,0
Ariana Grande,3
Shawn Mendes,82
Tory Lanez,73
Coldplay,76
Kungs,0
SAYGRACE,69
X Ambassadors,75
DNCE,79
99 Souls,55
Illy,51
Kiiara,55
Kygo,0
Fifth Harmony,75
Drake,63
ZAYN,59
Alessia Cara,66
DJ Snake,0
Sigala,46
Drake,72
Charlie Puth,62
Nick Jonas,69
Jonas Blue,0
Major Lazer,0
The Chainsmokers,73
Tory Lanez,0
P!nk,68
Bryson Tiller,78
Steve Aoki,63
Clean Bandit,60
Jonas Blue,1
Flume,0
Bastille,65
Sia,68
PARTYNEXTDOOR,62
Garrett Nash,77
Hilltop Hoods,63
Fifth Harmony,62
Daya,1
Kent Jones,63
Flume,53
Bryson Tiller,76
MØ,66
Beyoncé,67
Little Mix,1
The Lumineers,0
Frank Ocean,79
Drake,74
Ed Sheeran,84
Sean Paul,84
Luis Fonsi,0
Sam Smith,79
Clean Bandit,75
Camila Cabello,1
Imagine Dragons,1
Maroon 5,68
The Chainsmokers,83
Ed Sheeran,85
MGMT,81
Travis Scott,83
Billie Eilish,84
Future,79
G-Eazy,0
Maroon 5,0
Rae Sremmurd,75
Lil Peep,77
A$AP Ferg,74
French Montana,82
21 Savage,74
Axwell /\ Ingrosso,0
ZAYN,77
J Balvin,53
Jax Jones,1
Rae Sremmurd,75
Zara Larsson,67
Travis Scott,0
Ayo & Teo,69
Lil Uzi Vert,81
Imagine Dragons,80
Rob $tone,76
Jason Derulo,75
G-Eazy,0
Playboi Carti,77
Chord Overstreet,80
Jax Jones,58
Imagine Dragons,1
Natti Natasha,74
Kendrick Lamar,0
Selena Gomez,69
Charlie Puth,0
Big Shaq,62
Anne-Marie,57
Rag'n'Bone Man,76
blackbear,4
Lil Pump,64
Taylor Swift,76
Enrique Iglesias,70
Kodak Black,51
Kendrick Lamar,0
A Boogie Wit da Hoodie,0
XXXTENTACION,83
Migos,72
Yo Gotti,67
Martin Garrix,77
Jonas Blue,51
Martin Jensen,0
Taylor Swift,73
David Guetta,67
Migos,68
Shawn Mendes,0
G-Eazy,63
The Vamps,73
Dua Lipa,61
Cardi B,59
Rag'n'Bone Man,67
Zara Larsson,57
DJ Khaled,72
Post Malone,81
Avicii,77
Clean Bandit,0
Katy Perry,69
Zay Hilfigerrr,57
Calvin Harris,79
Migos,64
OneRepublic,64
Maggie Lindemann,61
Macklemore,74
Hayden James,47
Liam Payne,1
Drake,0
Justin Bieber,0
ZAYN,0
Alessia Cara,76
2 Chainz,71
Starley,48
AJR,0
Lana Del Rey,0
CNCO,0
The Vamps,61
The Weeknd,78
The Chainsmokers,73
Big Sean,71
Shawn Mendes,0
Avicii,53
Cheat Codes,68
Bruno Mars,78
Lorde,8
Kygo,75
Drake,81
Post Malone,83
Offset,80
G-Eazy,75
Dynoro,78
Juice WRLD,84
Zedd,80
Marshmello,78
Cardi B,79
XXXTENTACION,82
Ariana Grande,77
Sheck Wes,77
Calvin Harris,81
Tyga,73
Travis Scott,81
Imagine Dragons,80
DJ Snake,76
Marshmello,71
The Weeknd,69
Billie Eilish,86
Migos,75
Clean Bandit,71
Drake,77
6ix9ine,42
The Weeknd,80
Nio Garcia,76
Migos,72
Nicky Jam,74
XXXTENTACION,82
Becky G,69
Machine Gun Kelly,71
6ix9ine,63
Jax Jones,58
The Chainsmokers,69
Jay Rock,71
Rich The Kid,72
Kendrick Lamar,80
Logic,69
Jason Derulo,64
Ariana Grande,78
Rae Sremmurd,66
EO,67
Dennis Lloyd,74
girl in red,82
Selena Gomez,78
Tiësto,72
Tom Walker,70
Sofía Reyes,65
Marshmello,80
5 Seconds of Summer,69
Loud Luxury,0
Liam Payne,62
NF,79
XXXTENTACION,79
Maluma,69
Cardi B,72
Lil Baby,79
Jonas Blue,70
David Guetta,59
Ozuna,72
Charlie Puth,72
Post Malone,80
BlocBoy JB,73
Eminem,72
Marshmello,82
Dean Lewis,79
Charlie Puth,67
Migos,72
YG,68
Drake,75
B Young,60
Charlie Puth,64
Reik,1
benny blanco,75
Luis Fonsi,62
MK,65
Rita Ora,63
Banx & Ranx,56
Ella Mai,72
Daddy Yankee,71
DJ Khaled,67
Anne-Marie,80
Bruno Mars,74
FINNEAS,71
Hugh Jackman,72
Halsey,72
Drake,68
Camila Cabello,74
M.O,54
Dua Lipa,78
Cashmere Cat,56
Bazzi,75
Lil Dicky,70
Lauv,81
The Chainsmokers,73
Maroon 5,73
Khalid,73
Drake,77
Kendrick Lamar,80
Post Malone,77
Lil Nas X,79
Billie Eilish,83
Shawn Mendes,78
Ariana Grande,83
Post Malone,79
Gesaffelstein,84
Halsey,77
Regard,81
Lady Gaga,82
Mark Ronson,79
Lewis Capaldi,84
Jax Jones,60
Mustard,75
NLE Choppa,0
Kodak Black,77
Daddy Yankee,79
Alec Benjamin,82
BLACKPINK,1
Offset,68
MEDUZA,75
Ed Sheeran,63
Travis Scott,81
Mabel,0
Lana Del Rey,80
DJ Snake,70
A Boogie Wit da Hoodie,73
Saweetie,71
Lil Tecca,78
Russ Millions,69
Billie Eilish,86
Mabel,77
Lil Nas X,76
Meek Mill,78
Post Malone,79
Doja Cat,57
A Boogie Wit da Hoodie,75
iann dior,72
Paulo Londra,72
Drake,76
Lil Nas X,71
Bad Bunny,77
Polo G,78
Juice WRLD,53
21 Savage,78
Young Thug,69
Anuel AA,76
Camila Cabello,65
Flipp Dinero,69
Cardi B,73
Ariana Grande,76
Dave,78
Ava Max,7
Dua Lipa,79
Young T & Bugsey,61
Calvin Harris,73
Ed Sheeran,66
Cardi B,73
Stormzy,64
Tones And I,78
Ariana Grande,77
Bad Bunny,81
Ava Max,4
Pedro Capó,74
J. Cole,80
Lunay,70
Khalid,70
Blueface,1
DaBaby,72
AJ Tracey,69
Billie Eilish,75
BTS,35
Wiley,64
Jonas Brothers,71
5 Seconds of Summer,1
Avicii,71
"Tyler, The Creator",80
Ashley O,57
Dominic Fike,78
Sigala,64
Megan Thee Stallion,69
Anuel AA,75
Sam Feldt,69
Kehlani,74
Sech,71
Post Malone,80
Ed Sheeran,64
Lauv,2
iann dior,69
Panic! At The Disco,80
Marshmello,73
Sam Smith,73
NSG,57
Normani,71
Joel Corry,63
Post Malone,1
Jonas Brothers,79
Taylor Swift,78
Blanco Brown,69
Sam Smith,75
Post Malone,85
